Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
Undercity Scrounger, B, C, 326358, 6.40, 47250, 9.24, 135805, 53.0, 23196, 50.7, 34799, 52.7, 57995, 51.9, 77859, 53.9, -1.9
Unforgiving One, B, U, 118698, 5.48, 14738, 8.22, 33848, 53.9, 5710, 52.3, 8262, 53.6, 13972, 53.1, 19901, 54.4, -1.3
Virus Beetle, B, C, 234626, 4.09, 70098, 5.07, 381842, 57.6, 68279, 61.0, 99979, 58.3, 168258, 59.4, 213761, 56.1, 3.2
You Are Already Dead, B, C, 332748, 6.86, 42449, 10.12, 90029, 55.3, 14167, 53.7, 24118, 55.9, 38285, 55.0, 51778, 55.5, -0.5
Akki Ember-Keeper, R, C, 340582, 7.48, 41421, 10.58, 93991, 54.8, 16611, 53.8, 20501, 52.0, 37112, 52.8, 56912, 56.1, -3.3
Akki Ronin, R, C, 350040, 8.22, 36582, 11.91, 42969, 52.3, 7629, 53.0, 9713, 49.5, 17342, 51.0, 25642, 53.2, -2.1
Akki War Paint, R, C, 359236, 9.24, 35558, 13.30, 7444, 50.7, 1152, 46.5, 1650, 47.8, 2802, 47.3, 4644, 52.7, -5.5
Ambitious Assault, R, C, 359602, 8.86, 41152, 12.44, 34067, 54.5, 5163, 52.2, 7482, 52.1, 12645, 52.1, 21430, 55.8, -3.7
Atsushi the Blazing Sky, R, M, 5026, 1.39, 3435, 1.34, 16907, 55.8, 2967, 60.3, 4270, 59.6, 7237, 59.9, 9690, 52.7, 7.2
Bronzeplate Boar, R, U, 97048, 4.22, 16605, 5.70, 78205, 54.7, 13443, 53.4, 18373, 54.3, 31816, 53.9, 46414, 55.3, -1.3
Crackling Emergence, R, C, 354586, 8.82, 35220, 12.76, 15889, 52.9, 2819, 50.5, 3500, 51.6, 6319, 51.1, 9576, 54.0, -2.9
Dragonspark Reactor, R, U, 103433, 4.79, 17821, 6.33, 69883, 52.8, 12240, 49.7, 16759, 51.2, 28999, 50.6, 40911, 54.4, -3.8
Experimental Synthesizer, R, C, 307040, 5.98, 55819, 7.83, 234698, 57.0, 40624, 55.7, 54652, 58.4, 95276, 57.2, 139467, 56.8, 0.5
Explosive Entry, R, C, 349915, 8.12, 35966, 11.85, 31753, 53.1, 5130, 52.7, 7386, 53.0, 12516, 52.9, 19243, 53.2, -0.3
Explosive Singularity, R, M, 10074, 2.71, 3241, 2.82, 12201, 52.9, 1842, 52.1, 2896, 54.9, 4738, 53.8, 7470, 52.3, 1.5
